incident_id,name_of_covered_entity,state,business_associate_involved,individuals_affected,date_of_breach,type_of_breach,location_of_breached_information,date_posted_or_updated,information_breached,entity,organization_type,method
28,Advocate Health Care,IL,MedAssets,8120,11/24/09,Theft,Laptop,1/23/14,"Personal Information, Health Information, Financial Information, Technical Safeguards",Facebook,web,hacked
29,The Methodist Hospital,TX,MedAssets,6890,1/18/10,Theft,Other,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
30,"University of California, San Francisco",CA,MedAssets,73000,11/30/09,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
31,Carle Clinic Association,IL,MedAssets,13000,1/13/10,Theft,"Other, Paper",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
32,Educators Mutual Insurance Association of Utah ,UT,Health Behavior Innovations (HBI),57000,12/27/09,Theft,Other,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
33,University Medical Center of Southern Nevada,NV,MedAssets,51030,10/31/09,Theft,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards",Facebook,web,hacked
34,Center for Neurosciences,AZ,MedAssets,11000,12/15/09,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
35,Brown University,RI,Blue Cross Blue Shield of RI,5280,12/11/09,Other,Paper,1/23/14,"Personal Information, Health Information, Administrative Actions",Facebook,web,hacked
36,MMM Heath Care Inc. ,PR,"MSO of Puerto Rico, Inc. ",19070,2/4/10,Theft,Paper,6/3/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
37,PMC Medicare Choice,PR,MSO of Puerto Rico,6050,2/4/10,Theft,Paper,6/3/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
38,Cardiology Consultants/Baptist Health Care Corporation,FL,MedAssets,80000,12/19/09,Theft,Desktop Computer,6/30/14,"Personal Information, Health Information, Technical Safeguards",Facebook,web,hacked
39,"State of TN, Bureau of TennCare",TN,MedAssets,39000,12/23/09,Theft,Paper,6/24/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
40,Lucille Packard Children's Hospital,CA,MedAssets,5320,1/11/10,Other,Desktop Computer,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
41,University of New Mexico Health Sciences Center,NM,MedAssets,19000,2/8/10,Other,Desktop Computer,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
42,Advanced NeuroSpinal Care,CA,MedAssets,35000,12/30/09,Theft,Network Server,4/22/14,"Personal Information, Health Information, Technical Safeguards",Facebook,web,hacked
43,Aspen Dental Care P.C.,CO,MedAssets,25000,10/4/09,Theft,Other,6/30/14,"Health Information, Administrative Actions",Facebook,web,hacked
44,Shands at UF,FL,MedAssets,125800,1/27/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
45,Wyoming Department of Health,WY,MedAssets,90230,12/2/09,Unauthorized Access/Disclosure ,Network Server,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
46,Thrivent Financial for Lutherans,WI,MedAssets,95000,1/29/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards",Facebook,web,hacked
47,North Carolina Baptist Hospital,NC,MedAssets,5540,2/15/10,Theft,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
48,Montefiore Medical Center,NY,MedAssets,6250,2/20/10,Theft,Laptop,6/3/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
49,"Ernest T. Bice, Jr. DDS, P.A.",TX,MedAssets,210000,2/20/10,Theft,"Other Portable Electronic Device, Other",1/23/14,"Personal Information, Health Information, Financial Information, Contact Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
50,Lee Memorial Health System,FL,MedAssets,38000,1/29/10,Other,Paper,1/23/14,"Personal Information, Health Information, Administrative Actions",Facebook,web,hacked
51,"Laboratory Corporation of America/Dynacare Northwest, Inc.",WA,MedAssets,50800,2/12/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards",Facebook,web,hacked
52,Mount Sinai Medical Center,FL,MedAssets,26000,3/9/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
53,Griffin Hospital,CT,MedAssets,9570,2/4/10,Hacking/IT Incident,Network Server,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
54,"Hypertension, Nephrology, Dialysis and Transplantation, PC",AL,MedAssets,24650,3/6/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
55,Reliant Rehabilitation Hospital North Houston,TX,"Computer Program and Systems, Inc. (CPSI)",7680,2/9/10,Unauthorized Access/Disclosure ,E-mail,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
56,"Laboratory Corporation of America / US LABS / Dianon Systems, Inc",AZ,MedAssets,27730,2/18/10,Theft,Other Portable Electronic Device,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
57,University of Pittsburgh Student Health Center,PA,MedAssets,80000,3/11/10,"Theft, Loss",Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
58,Providence Hospital,MI,MedAssets,839450,2/4/10,Other,Other,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
59,VHS Genesis Lab Inc. ,IL,MedAssets,68000,1/10/10,Loss,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
60,John Muir Physician Network,CA,MedAssets,54500,2/4/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
61,Beatrice Community Hospital and Health Center,NE,"McKesson Information Solutions, LLC",6600,3/19/10,Other,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
62,Pediatric Sports and Spine Associates,TX,MedAssets,9550,2/10/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
63,"Affinity Health Plan, Inc.",NY,MedAssets,3445790,11/24/09,Theft,Other,5/28/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
64,Tomah Memorial Hospital,WI,MedAssets,6000,3/19/10,Other,Other,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
65,"Praxair Healthcare Services, Inc. (Home Care Supply in NY)",CT,MedAssets,541650,2/18/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Contact Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
66,Massachusetts Eye and Ear Infirmary,MA,MedAssets,35940,2/19/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
67,Blue Cross & Blue Shield of Rhode Island,RI,MedAssets,120000,12/20/09,Theft,Paper,6/30/14,"Personal Information, Health Information, Financial Information, Contact Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
68,South Carolina Department of Health and Environmental Control,SC,MedAssets,28500,2/17/10,Improper Disposal,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
69,St. Joseph Heritage Healthcare,CA,MedAssets,220120,3/6/10,Theft,Desktop Computer,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
70,Medical Center At Bowling Green,KY,MedAssets,51480,3/24/10,Theft,"Other Portable Electronic Device, Other",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
71,GENERAL AGENCIES WELFARE BENEFITS PROGRAM,TN,TOWERS WATSON,18740,2/5/10,Loss,Other,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
72,UnitedHealth Group health plan single affiliated covered entity,MN,MedAssets,7350,3/2/10,Theft,"Other, Paper",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
73,South Texas Veterans Health Care System,TX,MedAssets,14300,9/30/09,"Loss, Improper Disposal",Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
74,Rockbridge Area Community Services,VA,MedAssets,5000,3/12/10,Theft,"Laptop, Desktop Computer",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
75,"Emergency Healthcare Physicians, Ltd.",IL,"Millennium Medical Management Resources, Inc.",1801110,2/27/10,Theft,"Other Portable Electronic Device, Other",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
76,VA Eastern Colorado Health Care System,CO,MedAssets,6490,1/19/10,Theft,Paper,6/19/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
77,Miami VA Healthcare System,FL,MedAssets,5680,1/19/10,Loss,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
78,"Heriberto Rodriguez-Ayala, M.D.",TX,MedAssets,42000,4/3/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
79,Georgetown University Hospital,DC,MedAssets,24160,3/26/10,"Theft, Other","E-mail, Other Portable Electronic Device",1/23/14,"Personal Information, Health Information, Contact Information, Administrative Actions",Facebook,web,hacked
80,Silicon Valley Eyecare Optometry and Contact Lenses,CA,MedAssets,400000,4/2/10,Theft,Network Server,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
81,Loma Linda University Health Care,CA,MedAssets,5840,4/4/10,Theft,Desktop Computer,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
82,Veterans Health Administration,DC,Heritage Health Solutions,6560,4/22/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
83,"State of New Mexico Human Services Department, Medical Assistance Division",NM,DentaQuest,96000,3/20/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
84,Oconee Physician Practices,SC,MedAssets,6530,5/9/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
85,University of Rochester Medical Center and Affiliates,NY,MedAssets,26280,4/19/10,Other,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
86,Omaha Construction Industry Health and Welfare Plan,NE,DeBoer & Associates,8000,1/11/09,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
87,"City of Charlotte, NC (Health Plan)",NC,MedAssets,52200,2/3/10,Loss,Other,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
88,VA North Texas Health Care System,TX,MedAssets,40830,5/4/10,Improper Disposal,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
89,Rainbow Hospice and Palliative Care,IL,MedAssets,10000,4/12/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Financial Information, Login Credentials, Contact Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
90,Cincinnati Childrens Hospital Medical Center ,OH,MedAssets,609980,3/27/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
91,Occupational Health Partners,KS,MedAssets,11050,5/12/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
92,"AvMed, Inc.",FL,MedAssets,12200000,12/10/09,Theft,Laptop,6/30/14,"Health Information, Login Credentials, Technical Safeguards, Administrative Actions",Facebook,web,hacked
93,UnitedHealth Group health plan single affiliated covered entity,MN,MedAssets,162910,1/26/10,Other,Paper,1/23/14,Personal Information,Facebook,web,hacked
94,Lincoln Medical and Mental Health Center,NY,"Siemens Medical Solutions, USA, Inc",1304950,3/24/10,Theft,Other,6/19/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
95,"Nihal Saran, MD ",MI,MedAssets,23000,5/2/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Financial Information, Login Credentials, Technical Safeguards",Facebook,web,hacked
96,"University of Louisville Research Foundation, Inc., DBA The Kidney Disease Program",KY,MedAssets,7080,10/1/08,Hacking/IT Incident,Network Server,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
97,St. Jude Children's Research Hospital,TN,MedAssets,17450,4/19/10,Loss,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
98,TennCare,TN,DentaQuest,105150,3/20/10,Theft,Laptop,6/20/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
99,The Children's Medical Center of Dayton,OH,MedAssets,10010,4/22/10,Other,E-mail,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
100,Comprehensive Care Management Corporation,NY,MedAssets,10200,4/30/10,Theft,"Laptop, Desktop Computer, Network Server, E-mail",6/19/14,"Personal Information, Health Information, Login Credentials, Contact Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
101,alma aguado md pa,TX,MedAssets,6000,5/29/10,Theft,Network Server,4/23/14,"Personal Information, Health Information, Technical Safeguards",Facebook,web,hacked
102,University Hospital,GA,"Augusta Data Storage, Inc",140000,5/7/10,Loss,Other,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
103,University Health System,NV,MedAssets,75260,6/11/10,Theft,Network Server,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
104,"Sinai Hospital of Baltimore, Inc.",MD,"Aramark Healthcare Support Services, LLC",9370,5/3/10,Other,E-mail,1/23/14,"Personal Information, Contact Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
105,"Mary M. Desch,MD/PathHealer, LTD",AZ,MedAssets,58930,5/15/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
106,Children's Hospital & Research Center at Oakland,CA,MedAssets,10000,5/25/10,Other,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
107,Centerstone,TN,MedAssets,15370,5/1/10,Other,"Desktop Computer, Paper",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
108,California Department of Healthcare Services,CA,Care 1st Health Plan,290000,4/29/10,"Loss, Other","Other Portable Electronic Device, Other",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
109,Long Island Consultation Center,NY,MedAssets,8000,5/21/10,Theft,"Other Portable Electronic Device, Other",6/19/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
110,NYU Hospitals Center,NY,MedAssets,25630,5/8/10,Theft,Other Portable Electronic Device,5/28/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
111,University of Florida,FL,MedAssets,20470,5/24/10,Other,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
112,SunBridge Healthcare Corporation,NM,MedAssets,38300,5/11/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
113,Department of Health Care Policy & Financing,CO,Governor's Office of Information Technology,1054700,5/17/10,Theft,Desktop Computer,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
114,Prince William County Community Services (CS),VA,MedAssets,6690,6/18/10,Theft,Other Portable Electronic Device,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
115,"E. Brooks Wilkins Family Medicine, PA",NC,MedAssets,130000,2/1/10,Theft,"Desktop Computer, Other",1/23/14,"Personal Information, Health Information, Contact Information, Administrative Actions",Facebook,web,hacked
116,John Deere Health Benefit Plan for Wage Employees,IL,UnitedHealthcare Insurance Company ,10970,6/24/10,Other,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
117,South Shore Hospital,MA,"Iron Mountain Data Products, Inc. (now known as ",8000000,2/26/10,Loss,"Other Portable Electronic Device, Other, Electronic Medical Record",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
118,Montefiore Medical Center,NY,MedAssets,168200,5/22/10,Theft,Desktop Computer,6/19/14,"Personal Information, Health Information, Login Credentials, Technical Safeguards, Administrative Actions",Facebook,web,hacked
119,"DC Chartered Health Plan, Inc",DC,MedAssets,5400,5/26/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
120,Montefiore Medical Center,NY,MedAssets,237530,6/9/10,Theft,Desktop Computer,6/19/14,"Personal Information, Health Information, Login Credentials, Technical Safeguards, Administrative Actions",Facebook,web,hacked
121,Medina County OB/GYN,OH,MedAssets,12000,6/13/10,Improper Disposal,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
122,The University of Texas at Arlington,TX,MedAssets,270000,2/19/09,Hacking/IT Incident,Network Server,1/23/14,"Personal Information, Health Information, Technical Safeguards",Facebook,web,hacked
123,Aetna,CT,MedAssets,63720,3/29/10,Improper Disposal,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
124,Charles Mitchell MD,TX,MedAssets,68730,6/27/10,Theft,Desktop Computer,6/30/14,"Personal Information, Health Information, Technical Safeguards",Facebook,web,hacked
125,Humana Inc [case 4486],KY,Matrix Imaging,26310,6/25/10,Other,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
126,"WellPoint, Inc.",IN,MedAssets,317000,11/3/09,Hacking/IT Incident,Network Server,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
127,Carolina Center for Development and Rehabilitation,NC,MedAssets,15900,6/24/10,Theft,Paper,6/30/14,"Personal Information, Health Information, Login Credentials, Technical Safeguards, Administrative Actions",Facebook,web,hacked
128,Trinity Health Corporation Welfare Benefit Plan,MI,Mercer,10730,3/29/10,Loss,Other,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
129,Texas Children's Hospital,TX,MedAssets,6940,5/13/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
130,Baylor College of Medicine,TX,MedAssets,16460,5/13/10,Theft,Laptop,4/24/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
131,Wright State Physicians,OH,MedAssets,13090,6/11/10,Other,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards",Facebook,web,hacked
132,Penn Treaty Network America Insurance Company ,PA,MedAssets,5600,6/4/10,Other,Other,1/23/14,"Personal Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
133,Aultman Hospital,OH,MedAssets,138670,6/7/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
134,Fort Worth Allergy and Asthma Associates,TX,MedAssets,250000,6/29/10,Theft,Network Server,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
135,"Beauty Dental, Inc.",IL,MedAssets,6570,6/5/10,"Theft, Loss",Paper,1/23/14,"Health Information, Technical Safeguards",Facebook,web,hacked
136,Walsh Pharmacy,MA,McKesson Pharmacy Systems LLC,114400,6/3/10,Other,"Other Portable Electronic Device, Other",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
137,Jewish Hospital,KY,MedAssets,20890,7/16/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
138,St. John's Mercy Medical Group,MO,MedAssets,19070,6/7/10,Improper Disposal,Paper,1/23/14,Health Information,Facebook,web,hacked
139,"Thomas Jefferson University Hospitals, Inc.",PA,MedAssets,210000,6/14/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
140,UNCG Speech and Hearing Center,NC,MedAssets,23000,1/1/97,Hacking/IT Incident,Desktop Computer,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
141,Idaho Power Group Health Plan,ID,Mercer Health & Benefits,55000,3/29/10,Loss,Other,1/23/14,"Personal Information, Health Information, Technical Safeguards",Facebook,web,hacked
142,Loma Linda University School of Dentistry,CA,MedAssets,101000,6/13/10,Theft,Desktop Computer,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
143,"Ward A. Morris, DDS",WA,MedAssets,26980,7/16/10,Theft,Desktop Computer,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
144,"Chattanooga Family Practice Associates, P.C.",TN,MedAssets,17110,7/15/10,Loss,"Other Portable Electronic Device, Other",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
145,Yale University,CT,MedAssets,10000,7/28/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
146,University of Kentucky,KY,MedAssets,20270,6/18/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
147,Cook County Health & Hospitals System,IL,MedAssets,70810,5/30/10,Theft,Laptop,1/23/14,"Personal Information, Health Information, Login Credentials, Technical Safeguards",Facebook,web,hacked
